City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,port alfred,-33.5906,26.891,74.08,85,31,19.75,ZA,1706826887
233,waterloo,43.4668,-80.5164,37.27,96,100,8.05,CA,1706826635
234,kijang,35.2442,129.2139,38.93,88,100,10.29,KR,1706826887
235,akureyri,65.6835,-18.0878,35.53,80,40,14.97,IS,1706826887
236,antsiranana,-12.2787,49.2917,76.42,88,45,3.71,MG,1706826887
237,amboasary,-25.0333,46.3833,72.91,84,88,11.81,MG,1706826887
238,majuro,7.0897,171.3803,80.56,94,100,4.61,MH,1706826888
239,morehead city,34.7229,-76.726,53.65,74,0,8.05,US,1706826888
240,borgarnes,64.5383,-21.9206,39.81,99,100,4.36,IS,1706826888
241,nchelenge,-9.3451,28.734,68.72,88,100,3.62,ZM,1706826888
242,minas de marcona,-15.2119,-75.1103,68.34,72,36,14.81,PE,1706826888
243,wabag,-5.4781,143.7021,60.06,93,100,1.77,PG,1706826888
244,mananjary,-21.2167,48.3333,75.65,91,99,7.54,MG,1706826889
245,mahajanga,-15.7167,46.3167,78.82,89,20,3.44,MG,1706826889
246,puerto deseado,-47.7503,-65.8938,69.98,49,56,7.47,AR,1706826889
247,oranjemund,-28.55,16.4333,68.02,88,64,7.78,NA,1706826889
248,lata,40.1629,-8.3327,54.91,81,10,3.83,PT,1706826889
249,el casar,38.5309,-5.9251,50.99,70,21,2.86,ES,1706826890
250,happy valley-goose bay,53.3168,-60.3315,-1.89,46,20,6.91,CA,1706826890
251,colonia,50.9333,6.95,41.83,85,0,2.3,DE,1706826607
252,esil,51.9556,66.4042,6.67,96,98,5.93,KZ,1706826890
253,guarapari,-20.6667,-40.4975,78.89,94,100,9.48,BR,1706826890
254,ilhabela,-23.7781,-45.3581,76.19,88,95,3.67,BR,1706826891
255,candido mendes,-1.4467,-45.7167,76.41,97,100,3.83,BR,1706826891
256,samraong,12.4526,105.5873,71.17,86,15,2.95,KH,1706826891
257,mount isa,-20.7333,139.5,82.17,78,40,8.05,AU,1706826891
258,khandyga,62.6667,135.6,-38.45,100,99,2.73,RU,1706826891
259,progreso,21.2833,-89.6667,79.11,65,95,11.88,MX,1706826891
260,badger,64.8,-147.5333,-25.64,72,20,0.0,US,1706826892
261,nasiriyah,31.0521,46.261,51.01,72,98,9.48,IQ,1706826892
262,vicuna mackenna,-33.9197,-64.3922,99.63,18,13,16.73,AR,1706826892
263,yola,9.2,12.4833,74.57,21,73,2.89,NG,1706826892
264,la passe,45.5549,-0.8967,52.03,97,100,4.34,FR,1706826892
265,luang namtha,20.9497,101.4011,54.82,77,0,1.03,LA,1706826892
266,aasiaat,68.7098,-52.8699,-16.38,100,100,3.96,GL,1706826893
267,bushehr,28.9684,50.8385,64.49,94,100,44.87,IR,1706826893
268,khovd,48.0056,91.6419,-6.7,93,94,1.16,MN,1706826893
269,ayr,55.4627,-4.6339,48.51,87,75,10.36,GB,1706826893
270,nyurba,63.2842,118.3319,-18.51,99,100,4.18,RU,1706826893
